NGC4485            12 30 31.2 +41 42 00  3.98 46  84 0.13 -16.7 22.6  8.61  9.51   8.57  517  5.6 NGC4490          5.6  0.67
NGC4490            12 30 36.4 +41 38 37 10.55 62  86 0.27 -19.4 22.0  9.91  9.96   9.22  623  4.3 NGC4485          4.3 -0.44
CGCG 014-054       12 31 03.8 +01 40 33  3.53 64  20 0.00 -14.4 24.7  8.01  8.20   7.70  954  1.0 NGC4517          1.1  1.47
MAPS1231+42        12 31 09.0 +42 05 39  0.56 54   3 0.00 -11.1 24.0  6.69  5.80   6.22  602  2.9 NGC4490          3.0  0.70
DDO131             12 31 58.6 +29 42 35  2.72 46  38 0.00 -14.3 24.1  7.99  8.66   8.06  622  0.8 NGC4559          0.9  1.44
UGC7678            12 32 00.4 +39 49 55  3.53 70  16 0.00 -14.8 24.3  8.00  8.01   7.76  708 -0.4 NGC4258         -0.1 -0.02
UGC07690           12 32 26.9 +42 42 15  6.94 38  50 0.03 -17.3 23.2  8.86  9.30   8.64  578 -0.5 NGC4111         -0.1  1.26
NGC4517            12 32 45.5 +00 06 54 31.95 90 141 1.25 -20.2 23.6 10.40 10.87   9.35  978 -0.5 NGC4457          0.1  1.18
UGC07699           12 32 48.0 +37 37 18 16.11 77  77 0.42 -18.0 24.4  9.19 10.04   9.03  514 -0.4 NGC4369          0.0  0.84
DDO133             12 32 53.0 +31 32 21  5.01 53  23 0.00 -15.0 24.8  8.24  8.48   8.20  319  0.0 NGC4395          0.4  1.47
NGC4509            12 33 06.8 +32 05 30  2.68 46  28 0.00 -16.0 22.5  8.72  8.39   7.98  925  0.5 NGC4414          0.6  1.29
BTS142             12 33 07.4 +38 06 58  0.97 13  11 0.00 -11.6 24.6  6.90  7.17   7.15  740 -0.8 NGC4414         -0.3 -0.24
KDG155             12 33 08.0 -00 31 59  2.86 48  23 0.00 -13.2 25.4  7.55  8.26   7.65  592 -0.6 NGC4594         -0.4 -0.13
KK152              12 33 24.9 +33 21 05  2.12 83  12 0.00 -13.0 25.0  7.44  7.52   7.54  836  0.3 NGC4631          0.4  1.29
UGC7719            12 34 00.6 +39 01 10  5.53 75  25 0.00 -14.6 25.4  8.21  8.61   8.22  704 -0.4 NGC5055          0.0  0.04
NGC4534            12 34 05.5 +35 31 06  8.56 49  63 0.09 -16.9 24.1  8.82  9.59   9.00  811 -0.1 NGC4414          0.0  1.28
UGC7751            12 35 11.8 +41 03 39  2.73 90  16 0.00 -13.1 25.4  7.49  7.90   7.58  641  1.0 NGC4618          1.2  1.74
LV J1235-1104      12 35 39.4 -11 04 02  1.29 29  48 0.01 -14.5 22.4  8.04  8.55   7.44 1003  0.8 NGC4594          0.8  2.04
NGC4559            12 35 57.7 +27 57 35 25.37 68 115 0.46 -19.8 23.5 10.11 10.59   9.44  787 -0.4 NGC4631         -0.2  1.28
UGC07774           12 36 22.5 +40 00 19 19.61 89  80 0.63 -17.9 24.9  9.60 10.17   9.36  559 -2.3 NGC4565         -1.8
VCC1675            12 36 35.0 +08 03 17  3.09 61  12 0.00 -14.7 24.1  8.22  7.74   6.77 1670 -1.3 NGC4594         -0.8  0.05
IC3583             12 36 43.5 +13 15 34  6.47 70  48 0.07 -16.4 24.0  8.60  9.25   7.83 1024 -1.5 NGC4594         -0.9 -0.48
MAPS1236+33        12 36 49.4 +33 36 48  1.88 83   8 0.00 -13.5 24.2  7.66  7.18   7.47  527 -0.7 NGC4274         -0.3 -0.48
IC3591             12 37 03.0 +06 55 36  3.68 62  42 0.02 -15.7 23.5  8.66  8.88   8.24 1507 -0.4 NGC4417          0.3  1.44
KKSG29             12 37 14.1 -10 29 51  3.14 83   9 0.00 -13.0 25.8  7.46  7.45   7.01  562 -0.3 NGC4594         -0.2 -0.29
Arp211             12 37 21.3 +38 44 43  1.63 65   7 0.00 -13.4 23.9  7.63  6.94   7.36  484 -0.6 NGC4631         -0.1  0.78
VCC1713            12 37 29.1 +04 45 05  1.21 63   5 0.00 -13.5 23.2  7.66  6.59   7.08 1504 -0.1 NGC4600         -0.1 -0.05
KKSG30             12 37 35.9 -08 52 02  2.31 72  14 0.00 -13.6 24.5  7.71  7.69   7.29  917  1.2 NGC4594          1.2  2.05
VCC1725            12 37 41.2 +08 33 33  2.90 68  36 0.00 -14.9 23.8  8.48  8.63   7.60  959 -1.1 NGC4435         -0.5 -0.87
KKSG31             12 38 33.7 -10 29 25  2.22 34     0.00 -12.3 25.8  7.86       < 6.99       2.5 NGC4594          2.5  2.05
UGCA292            12 38 40.0 +32 46 00  1.08 52   8 0.00 -11.8 24.7  6.73  6.85   7.44  306 -0.6 NGC4736         -0.2  0.72
UGC07827           12 39 38.9 +44 49 15  3.08 64  20 0.00 -13.8 25.0  7.76  8.14   8.09  609  0.1 NGC4258          0.4  1.74
KKSG32             12 39 55.0 -11 44 48  1.72 41     0.00 -11.6 25.9  7.57       < 6.99       5.4 NGC4594          5.4  2.04
KDG177             12 39 58.5 +13 46 53  2.13 71   9 0.00 -13.4 24.6  7.59  7.32   7.69  913 -1.2 NGC4435         -0.7 -0.28
NGC4594            12 39 59.1 -11 37 23 32.46 66 389 0.74 -21.8 22.0 11.30 11.76   8.36  894  2.5 SUCD1            2.6 -0.41
NGC4605            12 40 00.3 +61 36 29  9.55 70  61 0.21 -18.1 23.1  9.69  9.62   8.43  284 -1.1 MESSIER081      -0.6 -1.25
AGC749241          12 40 01.7 +26 19 19  0.91 37   4 0.00 -11.6 24.5  6.88  6.27   7.18  418 -0.6 NGC4414         -0.3 -0.14
BTS146             12 40 02.1 +38 00 02  0.83 67   6 0.00 -12.2 23.7  7.14  6.57   6.97  470 -0.3 NGC5055          0.0  0.62
SUCD1              12 40 03.1 -11 40 04  0.27 18     0.00 -11.5 22.0  7.37       < 7.15 1109  6.5 NGC4594          6.5  2.04
KKSG33             12 40 08.9 -12 21 53  1.44 10     0.00 -11.5 25.6  7.57       < 6.99       3.1 NGC4594          3.1  2.04
VCC1822            12 40 10.4 +06 50 49  1.95 69   3 0.00 -13.2 24.5  7.54  6.21   7.07  885 -1.1 NGC4594         -0.7  0.04
NGC4597            12 40 12.9 -05 47 57 16.22 64  79 0.26 -17.8 24.6  8.66 10.07   9.12  912  0.0 NGC4594          0.2 -0.88
NGC4600            12 40 23.0 +03 07 04  3.49 53     0.00 -15.8 23.3  9.12       < 7.06  713 -1.0 NGC4594         -0.8 -0.73
KKSG34             12 41 18.9 -11 55 39  1.99 34     0.00 -12.1 25.7  7.78       < 6.99       3.8 NGC4594          3.8  2.04
NGC4618            12 41 32.8 +41 09 03  9.68 41  59 0.05 -18.3 22.9  9.65  9.60   8.90  576  3.4 NGC4625          3.4  0.48
LV J1241+3251      12 41 47.3 +32 51 28  1.68 65   7 0.00 -13.0 24.4  7.45  6.95   7.20  693  2.8 NGC4627          3.1  1.29
NGC4625            12 41 52.7 +41 16 26  3.84 39  33 0.00 -16.5 22.7  9.21  8.69   8.49  646  3.8 NGC4618          3.8  0.66
NGC4627            12 41 59.7 +32 34 25  3.89 59     0.00 -16.4 22.9  9.50               541  2.8 NGC4631          2.8  1.25
NGC4631            12 42 08.0 +32 32 29 33.69 86  81 0.62 -20.3 23.7 10.49 10.41   9.72  581  1.8 NGC4627          1.9  0.98
IC3687             12 42 15.1 +38 30 07  6.92 32  24 0.00 -14.6 25.9  8.19  8.68   7.90  377  1.4 NGC4736          1.4  1.50
BTS151             12 43 24.6 +32 28 56  1.65 64     0.00 -12.0 25.4  7.75                    2.7 NGC4627          3.1  1.29
LV J1243+3232      12 43 44.6 +32 32 04  0.75 57     0.00 -10.4 25.3  7.11                    2.7 NGC4631          3.1  1.29
KDG192             12 43 45.0 +53 57 32  2.31 59  35 0.00 -12.8 25.3  7.38  8.52   7.88  544 -0.1 NGC4258          0.2 -0.90
LV J1243+4127      12 43 55.7 +41 27 25  2.40 83   3 0.00 -11.8 26.4  6.97  6.25   7.02  444  0.2 NGC4490          0.3  0.76
KK160              12 43 57.4 +43 39 41  0.75 47   3 0.00 -10.9 24.8  6.59  6.01   6.59  346  0.8 NGC4736          1.0  1.48
NGC4656            12 43 57.6 +32 10 13 19.00 87  64 0.44 -18.2 24.5  9.59  9.95   9.19  635 -0.5 NGC4736          0.0  0.35
[KK2000] 51        12 44 21.5 -42 56 23  0.60 81     0.00 -10.9 24.4  6.60       < 6.32       0.8 NGC5128          1.1  1.92
DDO143             12 44 25.1 +34 23 11  5.79 90  21 0.00 -13.9 26.3  7.80  8.45   8.43  616 -0.5 NGC4414         -0.1 -0.17
UGCA294            12 44 38.1 +28 28 21  3.13 65  28 0.00 -15.2 23.6  8.34  8.47   8.09  935 -0.2 NGC4414         -0.1  1.28
ESO381-018         12 44 42.7 -35 58 00  1.28 64  17 0.00 -13.2 23.7  7.37  7.63   7.39  367 -0.3 NGC5236         -0.1 -0.73
IC3718             12 44 46.0 +12 21 05  4.98 74  32 0.00 -15.3 24.5  8.22  8.77   7.13  754 -1.5 NGC4594         -1.0 -0.40
ESO381-020         12 46 00.4 -33 50 17  4.57 90  34 0.00 -14.5 25.1  7.95  8.79   8.37  336 -0.3 NGC5236         -0.1 -0.86
VCC2033            12 46 04.5 +08 28 35  1.59 27   5 0.00 -14.8 22.6  8.32  6.75   7.01 1373 -0.7 NGC4472          0.0  1.18
VCC2037            12 46 15.3 +10 12 12  2.57 78   8 0.00 -13.7 24.7  7.71  7.28   6.67 1038 -1.4 NGC4594         -0.9  0.09
UGCA298            12 46 55.4 +26 33 51  2.86 44  41 0.00 -15.0 23.6  8.43  8.74   7.29  817 -0.8 NGC4414         -0.5 -0.31
UGC07950           12 46 56.4 +51 36 47  3.58 48  33 0.00 -15.2 23.9  8.36  8.65   8.05  599 -0.4 NGC5194          0.1 -2.05
DDO147             12 46 59.8 +36 28 35  2.29 42  12 0.00 -13.6 24.5  7.70  7.61   7.98  351 -0.1 NGC4736          0.2  1.51
FGC1497            12 47 00.6 +32 39 05  6.88 84  40 0.01 -15.1 25.4  8.40  9.10   8.26  521 -2.2 NGC4565         -1.6
HIPASS J1247-77    12 47 32.6 -77 35 01  1.18 75  11 0.00 -12.7 24.0  7.02  7.19   7.11  154 -0.8 CIRCINUS        -0.4 -0.43
NGC4707            12 48 22.9 +51 09 53  3.53 41  44 0.01 -15.5 23.6  8.15  8.90   7.95  558 -0.8 NGC4736         -0.3 -1.29
DDO148             12 48 43.1 -05 15 14  6.22 43  25 0.00 -16.2 24.1  8.83  8.65   7.82 1170  0.2 NGC4594          0.3 -0.62
KK165              12 48 52.7 +31 58 13  1.15 24     0.00 -11.2 25.4  7.44                    1.6 NGC4656          1.6  0.64
NGC4700            12 49 07.6 -11 24 41  8.49 82  54 0.24 -17.1 23.8  8.86  9.46   8.43 1222 -0.6 NGC4594         -0.5 -0.17
KK166              12 49 13.3 +35 36 45  0.83 73     0.00 -10.8 25.1  7.28                    0.7 NGC4736          0.7  1.50
MAPS1249+44        12 49 31.0 +44 21 33  1.06 69  14 0.00 -12.4 24.0  7.23  7.36   7.08  572  0.2 NGC4258          0.5  1.74
UGC07983           12 49 47.0 +03 50 32  2.28 54   9 0.00 -13.9 24.3  7.79  7.30   8.02  565 -0.1 NGC4586          0.2  1.33
UGC07990           12 50 27.2 +28 21 10  6.88 60  44 0.04 -15.4 25.1  8.53  9.19   8.40  495 -1.5 NGC4565         -0.9
NGC4736            12 50 53.5 +41 07 10 20.68 38 150 0.14 -19.9 23.0 10.61 10.73   8.32  352 -0.6 NGC4449         -0.1  0.84
BTS157             12 51 13.3 +47 04 15  1.38 39   4 0.00 -12.4 24.6  7.20  6.40   6.96  644  0.0 NGC5055          0.4 -0.21
KK167              12 51 44.4 +26 06 38  2.27 50  18 0.00 -13.5 24.6  7.64  7.91   7.68 1221 -0.8 NGC4414         -0.5 -0.83
IC3840             12 51 46.1 +21 44 07  1.54 75  11 0.00 -12.0 25.3  7.04  7.36   7.21  510 -0.7 NGC4826         -0.4 -1.26
NGC4765            12 53 14.4 +04 27 47  5.39 49  44 0.02 -16.8 23.2  8.96  9.09   8.43  598 -0.5 NGC4624          0.1  1.32
KKSG38             12 53 31.6 -05 55 40  2.64 78  18 0.00 -13.2 25.2  7.55  7.99   7.36  953 -0.3 NGC4594         -0.1 -0.04
DDO153             12 53 57.5 -12 06 31  5.93 90  29 0.00 -15.2 25.0  8.31  8.77   8.54  731 -0.1 NGC4594         -0.1 -0.18
DDO154             12 54 05.2 +27 08 55  2.50 49  46 0.03 -14.0 24.3  7.59  8.79   8.28  354  0.4 NGC4826          0.4  1.27
UGC08030           12 54 29.4 +26 18 18  5.40 66  24 0.00 -14.4 25.6  8.00  8.57   7.89  604  0.2 NGC4725          0.3  0.42
ESO443-009         12 54 53.6 -28 20 27  1.25 47  11 0.00 -12.1 24.7  7.08  7.24   7.14  409 -0.4 NGC5236         -0.2  0.54
KDG215             12 55 40.5 +19 12 33  1.87 68   4 0.00 -11.9 25.8  7.01  6.46   7.50  362 -0.7 NGC4826         -0.5 -1.40
ESO219-010         12 56 09.6 -50 08 38  1.11 47     0.00 -12.7 23.8  8.03       < 5.72       0.7 NGC4945          0.8  1.89
KDG216             12 56 25.0 +15 05 09  1.99 37     0.00 -12.1 25.7  7.78       < 6.77      -1.2 NGC4826         -0.9 -0.91
UGC08061           12 56 43.4 +11 55 52  1.60 41  36 0.00 -13.2 24.1  7.54  8.38   7.32  474 -1.6 NGC4594         -1.0 -0.81
NGC4826            12 56 44.2 +21 41 05 17.75 63 155 0.43 -19.5 23.1 10.48 10.70   8.26  365 -0.8 KK177           -0.5 -1.01
CVnII              12 57 10.0 +34 19 15  0.11 70     0.00  -4.1 27.5  4.59       < 4.10 -113  2.0 Milky Way        2.0  1.74
MCG-02-33-075      12 58 28.3 -10 34 37  7.62 64  25 0.00 -15.2 25.5  8.48  8.73   7.57 1173  0.4 NGC4594          0.4  2.05
GR8                12 58 40.4 +14 13 03  1.05 27  11 0.00 -12.0 24.5  6.81  7.14   6.89  139 -1.4 Milky Way       -0.8 -2.02
HIPASS J1258-04    12 58 49.6 -04 53 19  1.59 87  19 0.00 -13.9 23.4  7.82  7.81   7.67 1199 -1.1 NGC4594         -0.9
NGC4861            12 59 02.0 +34 51 37  7.48 90  45 0.06 -16.5 24.2  8.86  9.24   8.59  861  0.3 NGC4631          0.4  1.28
KK176              12 59 56.3 -19 24 47  3.01 64  15 0.00 -12.9 25.9  7.39  7.90   7.76  618 -1.0 NGC4594         -0.6 -0.23
UGCA319            13 02 14.4 -17 14 15  2.84 53  51 0.05 -14.6 23.9  8.22  8.94   7.97  555  2.2 DDO161           2.2 -0.03
KK177              13 02 41.9 +21 59 51  1.03 28     0.00 -11.0 25.4  7.34                    2.3 NGC4826          2.3  1.23
DDO161             13 03 16.8 -17 25 23 16.77 90  49 0.22 -16.4 26.1  8.91  9.67   8.99  545  1.5 UGCA319          1.5 -0.24
ESO269-037         13 03 33.6 -46 35 03  1.36 47   3 0.00 -12.0 25.0  7.05  6.27   5.60  481  1.1 NGC4945          1.4  1.91
KK180              13 04 29.9 +17 45 32  1.15 55     0.00 -11.0 25.6  7.36                    0.9 NGC4826          1.0  1.23
KK182              13 05 02.9 -40 04 58  1.65 62  12 0.00 -12.9 24.5  7.46  7.47   7.62  364 -0.6 NGC5236         -0.3 -1.18
NGC4945            13 05 26.1 -49 28 16 34.38 86 169 1.16 -20.5 23.5 10.74 11.05   8.79  299  0.9 NGC5128          1.0  1.70
KDG218             13 05 44.0 -07 45 20  2.73 51     0.00 -11.9 26.6  7.71       < 6.61      -1.0 NGC5236         -0.7
IC4182             13 05 49.3 +37 36 21  9.12 23  31 0.00 -16.4 24.7  8.77  9.01   8.36  357  0.9 NGC4736          0.9  1.50
DDO165             13 06 26.8 +67 42 15  5.40 68  20 0.00 -15.1 24.9  8.18  8.41   8.04  196 -0.2 NGC4236          0.1  0.44
MCG -03-34-002     13 07 56.6 -16 41 21  2.99 59  28 0.00 -15.1 23.6  8.10  8.44   7.72  765 -0.5 NGC4594         -0.4 -0.18
UGC08215           13 08 03.6 +46 49 41  1.12 52   3 0.00 -12.3 24.3  7.17  6.16   7.27  304  0.5 NGC4736          0.5  1.42
UGC08245           13 08 34.2 +78 56 13  1.23 90     0.00 -11.9 24.9  7.04               145 -0.8 MESSIER081      -0.3 -2.55
MCG -04-31-038     13 09 36.6 -27 08 26  2.45 55  31 0.00 -14.7 23.6  8.79  8.43   7.98  461 -1.1 NGC4594         -0.9
ESO269-058         13 10 32.9 -46 59 27  5.60 62  30 0.00 -15.1 25.0  8.87  8.77   7.38  140  2.1 NGC4945          2.2  1.91
[KK2000] 53        13 11 14.2 -38 54 22  0.93 36     0.00 -10.9 25.3  7.30       < 6.32       1.3 NGC5128          1.4  1.92
NGC5023            13 12 11.9 +44 02 19 12.97 90  78 0.73 -17.1 24.8  9.08  9.96   8.65  476 -0.6 NGC5195         -0.1 -1.28
KK189              13 12 45.0 -41 49 55  0.84 62     0.00 -10.9 25.1  7.30       < 5.22       0.9 NGC5128          1.0  1.91
CGCG 217-018       13 12 51.8 +40 32 35  2.42 55     0.00 -14.7 23.5  8.12               608  0.5 NGC5055          0.6  1.77
KKH82              13 12 58.7 +41 47 12  2.70 42     0.00 -13.2 25.3  7.53               588  0.1 NGC5055          0.5  2.12
ESO269-066         13 13 09.2 -44 53 24  2.58 34     0.00 -13.7 24.7  8.44       < 4.94  528  2.0 NGC5128          2.1  1.92
NGC5011C           13 13 11.9 -43 15 56  1.35 56     0.00 -14.1 22.9  7.95       < 7.12  394  2.0 NGC5128          2.0  1.92
DDO167             13 13 22.8 +46 19 11  1.32 67   3 0.00 -12.7 24.2  7.18  6.05   7.19  230  0.1 NGC4736          0.4  1.42
KK191              13 13 39.7 +42 02 39  0.74 18     0.00 -10.8 24.9  6.55       < 6.21      -0.8 NGC4736         -0.3  0.74
DDO168             13 14 28.6 +45 55 10  4.79 90  25 0.00 -15.3 24.4  8.14  8.55   8.35  270  0.3 NGC4736          0.4  1.42
DDO169NW           13 15 20.1 +47 32 37  0.94 51  11 0.00 -10.2 26.0  6.31  7.14   6.97  328  0.0 NGC4736          0.3  1.42
DDO169             13 15 30.7 +47 29 47  3.65 90  20 0.00 -13.8 25.3  7.73  8.22   7.75  348  0.2 NGC4736          0.4  1.42
KK193              13 15 31.2 +41 30 05  1.47 27     0.00 -11.1 26.0  6.70                    2.7 NGC5055          2.7  1.74
NGC5055            13 15 49.3 +42 01 45 42.22 58 211 0.45 -21.0 23.5 10.99 11.34   9.62  562 -0.1 NGC5194          0.1 -0.86
CGCG 189-050       13 17 04.9 +37 57 09  1.25 45     0.00 -13.0 23.8  7.44               368  0.2 NGC4736          0.3  1.41
KK194              13 17 19.5 +44 23 48  1.82 64     0.00 -12.5 25.2  7.24                   -0.1 NGC5055          0.1
NGC5068            13 18 55.3 -21 02 21 17.33 29  66 0.03 -18.6 23.9  9.78  9.94   8.87  469 -0.1 NGC5236         -0.1 -0.85
AGC732602          13 21 04.8 +24 08 36  1.26 83   6 0.00 -12.2 24.6  7.14  6.72   7.00  908 -1.0 NGC4631         -0.7 -1.95
KK195              13 21 08.2 -31 31 47  1.11 78   3 0.00 -11.8 24.8  6.96  5.93   7.56  345  0.9 NGC5236          0.9  1.62
[KK2000] 54        13 21 32.4 -31 53 11  0.93 54     0.00 -10.5 25.7  6.44       < 5.78       0.9 NGC5236          1.0  1.62
KK196              13 21 47.1 -45 03 48  1.08 45     0.00 -12.2 24.3  7.14       < 6.29  490  1.6 NGC5128          1.7  1.91
NGC5102            13 21 57.8 -36 37 47 13.44 90  91 0.46 -18.1 23.9  9.63 10.11   8.40  227  0.8 NGC5128          0.9  1.90
KK197              13 22 01.8 -42 32 08  2.15 48     0.00 -12.9 25.1  8.12       < 5.47       2.6 NGC5128          2.6  1.92
[KK2000] 55        13 22 12.4 -42 43 51  1.09 34     0.00 -10.1 26.4  7.00       < 6.32       2.0 NGC5128          2.1  1.92
KK198              13 22 56.1 -33 34 22  0.73 41     0.00 -11.0 24.7  7.34       < 5.82       0.8 NGC5236          0.8  1.62
AM1320-230         13 23 29.9 -23 23 35  1.00 77     0.00 -11.1 25.2  7.41       < 5.78       0.4 NGC5236          0.5  1.65
KK200              13 24 36.0 -30 58 20  1.55 60   3 0.00 -12.0 25.3  7.29  6.18   6.84  271  1.2 NGC5236          1.2  1.62
NGC5128            13 25 28.9 -43 01 00 42.65 45 318 0.25 -20.8 23.7 10.91 11.70   8.46  310  0.7 NGC4945          1.0  1.57
IC4247             13 26 44.4 -30 21 45  2.45 90  11 0.00 -14.3 23.9  8.21  7.53   7.56  200  2.0 NGC5236          2.0  1.65
KK203              13 27 28.1 -45 21 09  0.58  9     0.00 -10.5 24.6  6.46       < 6.32       2.0 NGC5128          2.1  1.92
ESO324-024         13 27 37.4 -41 28 50  3.93 44  50 0.04 -15.5 23.8  8.33  9.06   8.16  272  2.9 NGC5128          2.9  1.92
CVnI               13 28 03.5 +33 33 21  0.93 70     0.00  -7.9 28.3  6.10       < 4.50   62  1.5 Milky Way        1.6  1.74
LV J1328+4937      13 28 31.2 +49 37 38  1.03 67     0.00 -12.3 24.1  7.16               497  0.9 NGC5194          1.1  1.87
PGC170257          13 29 21.0 -21 10 45  1.93 47  28 0.00 -14.2 23.5  7.92  8.26   7.16  457 -0.9 NGC5236         -0.6 -1.86
NGC5204            13 29 36.4 +58 25 04  6.88 54  62 0.11 -16.8 23.7  8.85  9.49   8.60  339 -0.9 NGC4736         -0.4 -0.70
NGC5194            13 29 52.7 +47 14 04 39.25 53  96 0.21 -21.4 22.9 10.97 10.62   9.32  538  0.0 NGC5195          0.4  1.34
NGC5195            13 29 58.7 +47 16 05 15.79 25 171 0.06 -19.2 23.1 10.59 10.73   8.14  548  0.4 NGC5194          0.5  1.72
UGC08508           13 30 44.4 +54 54 36  1.66 63  21 0.00 -13.1 24.3  7.55  7.93   7.30  181 -0.8 MESSIER081      -0.5 -0.88
AGC238890          13 32 30.3 +25 07 25  1.64 59   3 0.00 -12.6 24.8  7.30  6.21   6.58  356 -1.2 NGC4631         -0.8 -2.11
UGCA361            13 32 36.2 +49 49 49  2.24 63     0.00 -12.9 25.2  8.09                    0.8 NGC5194          1.0  1.87
NGC5206            13 33 43.9 -48 09 04  4.35 37     0.00 -16.6 22.9  9.02       < 6.61  334  1.0 NGC5128          1.3  1.91
NGC5229            13 34 02.9 +47 54 55  7.39 90  55 0.33 -15.6 25.1  8.47  9.41   8.47  456  1.1 NGC5194          1.4  1.87
NGC5238            13 34 42.7 +51 36 50  2.75 39  24 0.00 -14.8 23.7  8.02  8.28   7.42  342 -0.4 NGC4736         -0.2 -0.26
ESO270-017         13 34 47.3 -45 32 51 16.92 90  64 0.50 -17.1 25.4  9.18  9.91   8.60  583  1.8 NGC5128          1.8  1.91
UGCA365            13 36 30.8 -29 14 11  2.46 87   9 0.00 -13.3 24.9  7.70  7.38   7.26  367  1.3 NGC5236          1.3  1.65
KK208              13 36 35.5 -29 34 15  8.19 90     0.00 -14.2 26.6  8.65       < 6.63       1.7 NGC5236          1.7  1.61
MCG +08-25-028     13 36 44.8 +44 35 57  2.13 70     0.00 -13.6 24.3  7.70               565  0.8 NGC5195          1.0  1.87
NGC5236            13 37 00.1 -29 52 04 28.19 28 254 0.10 -20.6 22.9 10.86 11.32  10.00  307 -0.5 KK208            0.0 -0.01
HIDEEP J1337-33    13 37 00.6 -33 21 47  0.26 20   7 0.00 -11.1 22.3  6.70  6.21   6.67  371  0.5 NGC5236          0.7  1.95
ESO444-084         13 37 20.2 -28 02 46  1.91 45  34 0.00 -13.6 24.2  7.61  8.40   7.90  380  1.3 NGC5236          1.4  1.62
HIPASS J1337-39    13 37 25.1 -39 53 52  0.78 38  22 0.00 -12.2 23.5  7.17  7.65   7.56  258  0.1 NGC5236          0.3  1.62
NGC5237            13 37 38.9 -42 50 51  2.14 37  56 0.03 -14.9 23.1  8.45  8.89   7.50  122  1.2 NGC5128          1.3  1.92
UGC08638           13 39 19.4 +24 46 33  2.05 55  11 0.00 -13.7 24.1  7.96  7.50   7.08  275 -0.2 NGC4826         -0.1  1.23
DDO181             13 39 53.8 +40 44 21  2.06 65  16 0.00 -13.2 24.7  7.53  7.81   7.33  284 -1.1 NGC4736         -0.6 -0.09
NGC5253            13 39 55.8 -31 38 24  7.27 69  31 0.00 -17.1 23.5  9.11  8.91   7.94  193  0.3 NGC5128          0.6  1.70
IC4316             13 40 18.1 -28 53 40  2.71 59   3 0.00 -13.9 24.6  8.22  6.43   7.05  369  0.7 NGC5236          0.9  1.62
NGC5264            13 41 37.0 -29 54 50  4.69 54  15 0.00 -15.9 23.8  8.83  8.10   7.65  269  1.1 NGC5236          1.2  1.62
[KK2000] 57        13 41 38.1 -42 34 55  0.70 36     0.00 -10.3 25.3  7.06       < 6.40       1.7 NGC5128          1.7  1.92
KK211              13 42 05.6 -45 12 18  1.41 34     0.00 -11.9 25.1  7.72       < 5.76  360  1.6 NGC5128          1.8  1.92
LV J1342+4840      13 42 20.1 +48 40 57  1.68 53     0.00 -13.1 24.3  7.49               543  0.8 NGC5195          1.0  1.80
DDO182             13 42 32.6 +39 39 30  3.40 48  19 0.00 -14.1 24.9  7.89  8.16   8.03  730  0.2 NGC5055          0.4  1.74
KK213              13 43 35.8 -43 46 09  0.56 90     0.00 -10.2 24.8  7.04       < 6.33       1.8 NGC5128          1.8  1.92
ESO325-011         13 45 00.8 -41 51 32  3.30 75  26 0.00 -14.0 24.9  7.86  8.40   7.87  311  1.1 NGC5128          1.2  1.92
[KK2000] 58        13 46 00.8 -36 19 44  1.04 58     0.00 -10.6 25.8  7.21       < 5.56       0.8 NGC5128          1.1  1.92
KK217              13 46 17.2 -45 41 05  0.83 41     0.00 -10.9 25.1  7.30       < 5.14       1.4 NGC5128          1.5  1.92
KK218              13 46 39.5 -29 58 45  1.14 90     0.00 -11.0 25.6  7.34       < 5.30       1.2 NGC5236          1.4  1.62
ESO174-001         13 47 57.7 -53 21 04  3.94 83  31 0.00 -15.7 23.6  7.90  8.64   8.17  438  0.6 NGC4945          0.8  1.90
CenN               13 48 09.2 -47 33 54  0.96 48     0.00 -10.9 25.3  7.32       < 6.34       1.1 NGC5128          1.3  1.91
HIPASS J1348-37    13 48 33.9 -37 58 03  0.83 41  23 0.00 -11.5 24.4  6.88  7.69   7.29  359 -0.3 NGC5236         -0.1 -1.45
KK221              13 48 46.4 -46 59 49  1.96 55     0.00 -11.3 26.5  6.77       < 6.41  268  1.0 NGC5128          1.1  1.91
ESO383-087         13 49 18.8 -36 03 41  5.98 37  18 0.00 -17.0 23.2  9.12  8.36   7.88  108  0.6 NGC5128          0.8  1.71
DDO183             13 50 51.1 +38 01 16  2.18 90   8 0.00 -13.2 24.8  7.52  7.17   7.31  254 -1.0 NGC4736         -0.6 -0.83
HIPASS J1351-47    13 51 22.0 -47 00 00  1.05 62  17 0.00 -11.9 24.5  7.01  7.53   7.42  291 -0.9 NGC5236         -0.4 -1.08
KDG229             13 53 41.6 +60 03 04  1.96 65     0.00 -13.1 24.7  7.48                   -0.1 MESSIER101       0.0  1.60
KKH86              13 54 33.6 +04 14 35  0.65 51   3 0.00 -10.3 25.1  6.51  5.89   5.91  209 -1.4 NGC5128         -0.9 -2.01
HolmIV             13 54 45.1 +53 54 17  8.25 74  35 0.00 -15.6 25.3  8.61  9.08   8.35  272  1.8 MESSIER101       1.8  1.61
UGC08833           13 54 48.7 +35 50 15  1.06 30  14 0.00 -12.2 24.2  7.37  7.36   7.00  280 -1.1 NGC4736         -0.6 -0.82
LV J1354+5438      13 54 50.6 +54 38 50                                            7.15  345  2.2 MESSIER101       2.2  1.61
